query,response
"[3, 7, 7, 7]",Answer: (7 - 3) * 7 + 7 = 24
"[4, 4, 6, 9]",Answer: (9 - 6) * (4 + 4) = 24
"[3, 6, 6, 12]",Answer: (12 / 6) * (6 + 3) = 24
"[4, 4, 6, 10]",Answer: (10 - 6) * (4 + 4) = 24
"[1, 3, 8, 12]",Answer: (12 - 8) * 3 * 1 = 12 * 2 = 24
"[2, 3, 5, 11]",Answer: (11 - 5) * (3 + 2) = 24
"[7, 7, 11, 13]",Answer: (13 - 11) * 7 + 7 = 24
"[3, 8, 12, 12]",Answer: (12 / 12 + 3) * 8 = 24
"[2, 2, 3, 8]",Answer: (3 - 2) * 8 + 2 = 24
"[10, 11, 12, 13]",Answer: (13 - 10) * (12 - 11) * 10 = 24
